Object Un_lris Un_lris_err B_subaru B_subaru_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_H mosfire_H_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err irac3 irac3_err f140w f140w_err f160w f160w_err Redshift
Q0100-RedGal 27.59 9999.0 26.05 0.13 26.25 0.14 25.17 0.1 22.54 0.1 21.38 0.1 20.39 0.1 20.06 0.1 20.02 0.1 20.13 0.1 22.04 0.1 21.38 0.1 2.3
Q0100-BX1 25.63 0.19 25.2 0.11 25.15 0.1 25.14 0.1 25.18 0.21 9999.0 9999.0 24.87 0.22 9999.0 9999.0 23.5 0.24 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.115
Q0100-BX104 25.34 0.19 24.82 0.1 24.65 0.1 24.25 0.1 22.61 0.1 22.39 0.1 22.11 0.1 22.23 0.15 21.59 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.767
Q0100-BX105 25.92 0.24 25.47 0.14 25.37 0.11 25.25 0.1 24.29 0.1 23.49 0.13 23.57 0.1 23.92 0.3 23.82 0.32 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.962
Q0100-BX107 24.91 0.12 24.44 0.1 24.34 0.1 24.18 0.1 23.09 0.1 22.85 0.1 22.73 0.1 22.35 0.1 22.18 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.767
Q0100-BX11 25.32 0.14 25.02 0.1 24.96 0.1 24.99 0.1 24.18 0.1 23.71 0.17 25.68 0.44 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.171
Q0100-BX118 24.56 0.1 24.26 0.1 24.15 0.1 24.19 0.1 23.72 0.1 22.99 0.1 23.18 0.1 23.95 0.4 23.77 0.32 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.109
Q0100-BX12 25.0 0.11 24.85 0.1 24.65 0.1 24.88 0.1 9999.0 9999.0 24.19 0.28 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.752
Q0100-BX122 25.75 0.23 25.33 0.14 25.14 0.11 24.95 0.1 24.06 0.1 23.35 0.12 23.29 0.1 24.01 0.44 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.071
Q0100-BX125 25.41 0.21 24.87 0.11 24.75 0.1 24.44 0.1 23.93 0.1 23.36 0.15 23.27 0.1 23.44 0.16 23.7 0.19 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.709
