Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_H mosfire_H_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f140w f140w_err f160w f160w_err Redshift
Q0105-BM126 25.62 0.32 25.22 0.14 24.84 0.15 23.41 0.1 22.91 0.1 22.77 0.1 22.55 0.1 9999.0 9999.0 23.16 0.1 9999 9999.0 1.168
Q0105-BM133 24.57 0.17 24.22 0.1 23.97 0.09 22.87 0.1 22.72 0.1 22.77 0.1 22.6 0.1 9999.0 9999.0 22.86 0.1 9999 9999.0 1.626
Q0105-BM63 25.27 0.27 24.92 0.12 24.51 0.14 23.68 0.1 23.34 0.1 23.21 0.1 22.78 0.17 9999.0 9999.0 23.38 0.1 9999 9999.0 1.995
Q0105-BM67 24.72 0.16 24.34 0.1 24.07 0.08 22.8 0.1 22.14 0.1 22.2 0.1 9999.0 9999.0 9999.0 9999.0 22.61 0.1 9999 9999.0 1.952
Q0105-BX100 24.6 0.24 23.64 0.1 23.26 0.07 22.17 0.1 21.55 0.1 21.13 0.1 20.82 0.1 20.68 0.1 9999.0 9999.0 9999 9999.0 2.256
Q0105-BX101 26.4 0.69 25.62 0.21 25.23 0.21 25.19 0.14 24.16 0.1 23.33 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.162
Q0105-BX102 25.63 0.39 24.85 0.12 24.77 0.15 24.4 0.1 25.42 0.47 24.22 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.357
Q0105-BX103 26.57 0.9 25.07 0.14 24.52 0.13 24.91 0.12 23.54 0.1 24.19 0.1 23.68 0.49 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.712
Q0105-BX106 25.02 0.21 24.39 0.1 24.31 0.11 24.38 0.1 23.58 0.1 23.31 0.1 23.88 0.38 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.356
Q0105-BX107 26.56 0.62 25.58 0.16 25.37 0.2 24.1 0.1 24.12 0.1 23.9 0.1 23.65 0.23 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.219
Q0105-BX108 25.6 0.44 24.12 0.1 23.55 0.06 22.65 0.1 22.22 0.1 21.5 0.1 21.29 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.296
Q0105-BX11 26.43 0.92 25.1 0.17 24.43 0.12 23.84 0.1 22.67 0.1 22.48 0.1 22.39 0.41 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.364
Q0105-BX111 25.2 0.28 24.6 0.1 24.39 0.12 23.53 0.1 23.31 0.1 22.75 0.1 22.72 0.25 22.39 0.2 9999.0 9999.0 9999 9999.0 1.783
Q0105-BX112 25.05 0.26 24.37 0.1 24.1 0.1 22.83 0.1 22.21 0.1 22.48 0.1 22.19 0.13 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.655
Q0105-BX113 25.96 0.46 25.02 0.12 24.69 0.14 23.94 0.1 23.19 0.1 22.8 0.1 22.81 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.124
Q0105-BX114 24.59 0.14 24.15 0.1 24.04 0.09 23.07 0.1 23.03 0.1 23.02 0.1 22.73 0.16 21.99 0.4 9999.0 9999.0 9999 9999.0 1.752
Q0105-BX117 24.54 0.15 24.2 0.1 24.08 0.1 23.18 0.1 22.96 0.1 22.9 0.1 22.92 0.15 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.786
Q0105-BX119 25.98 0.61 25.06 0.16 24.62 0.15 23.5 0.1 23.67 0.1 22.83 0.1 22.68 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.456
Q0105-BX12 25.04 0.25 24.21 0.1 23.72 0.07 23.46 0.1 23.12 0.1 23.36 0.1 24.16 0.35 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.98
Q0105-BX124 26.64 0.73 25.79 0.21 25.48 0.24 24.16 0.1 23.54 0.1 23.12 0.1 22.85 0.17 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.151
Q0105-BX125 25.61 0.4 24.92 0.13 24.51 0.14 23.84 0.1 23.37 0.1 23.04 0.1 22.8 0.18 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.573
Q0105-BX128 26.6 0.69 25.73 0.19 25.66 0.3 25.2 0.12 24.19 0.11 24.07 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.481
Q0105-BX129 25.36 0.36 24.5 0.1 24.02 0.1 23.59 0.1 22.71 0.1 22.58 0.1 23.9 0.36 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.288
Q0105-BX130 25.15 0.33 24.59 0.12 24.13 0.11 22.66 0.1 21.97 0.1 21.76 0.1 21.4 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.651
Q0105-BX131 25.09 0.24 24.49 0.1 24.15 0.09 23.04 0.1 22.56 0.1 22.61 0.1 22.45 0.15 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.642
Q0105-BX132 25.95 0.51 25.06 0.14 24.83 0.17 23.32 0.1 22.96 0.1 22.4 0.1 22.04 0.1 21.88 0.14 9999.0 9999.0 9999 9999.0 2.211
Q0105-BX133 25.99 0.59 25.16 0.17 24.95 0.2 24.26 0.1 23.6 0.1 23.35 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.483
Q0105-BX136 24.67 0.18 24.1 0.1 23.82 0.08 23.17 0.1 23.14 0.1 23.11 0.1 23.35 0.19 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.489
Q0105-BX137 25.73 0.56 24.86 0.16 24.4 0.15 24.38 0.1 23.04 0.1 22.97 0.1 22.93 0.19 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.211
Q0105-BX138 25.83 0.7 25.06 0.21 24.56 0.16 24.22 0.1 22.95 0.1 23.79 0.11 23.82 0.35 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.285
Q0105-BX143 26.73 9999.0 26.19 0.37 25.37 0.23 24.28 0.1 24.19 0.13 23.76 0.1 23.8 0.19 9999.0 9999.0 9999.0 9999.0 9999 9999.0 3.52
Q0105-BX144 26.15 0.49 25.55 0.18 25.29 0.23 23.85 0.1 23.61 0.1 22.73 0.1 22.36 0.1 22.32 0.22 9999.0 9999.0 9999 9999.0 1.767
Q0105-BX145 26.62 9999.0 25.81 0.24 25.48 0.24 24.49 0.1 24.49 0.16 23.83 0.1 10.88 0.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.484
Q0105-BX147 25.75 0.3 25.15 0.11 25.09 0.16 25.2 0.1 24.77 0.1 24.43 0.1 9999.0 9999.0 9999.0 9999.0 24.24 0.1 9999 9999.0 2.386
Q0105-BX148 25.14 0.24 24.19 0.1 23.84 0.07 23.12 0.1 22.45 0.1 22.58 0.1 22.6 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.361
Q0105-BX149 25.08 0.23 24.53 0.1 24.31 0.11 23.13 0.1 22.56 0.1 22.52 0.1 22.09 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.761
