Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f140w f140w_err Redshift
Q0821-BM131 23.18 0.1 23.02 0.1 22.86 0.1 22.12 0.1 21.67 0.1 21.56 0.1 9999.0 9999.0 22.31 0.1 1.079
Q0821-BM160 24.95 0.1 24.79 0.12 24.66 0.1 24.04 0.1 23.6 0.1 9999.0 9999.0 9999.0 9999.0 24.31 0.1 1.382
Q0821-BM164 24.86 0.1 24.75 0.13 24.84 0.1 24.16 0.1 24.23 0.1 24.1 0.37 9999.0 9999.0 24.34 0.1 1.639
Q0821-BM176 24.99 0.1 25.05 0.11 25.07 0.1 25.09 0.1 24.71 0.12 23.25 0.35 9999.0 9999.0 24.59 0.1 1.64
Q0821-BX101 26.41 0.12 25.53 0.18 25.14 0.1 24.26 0.1 22.76 0.1 21.69 0.1 9999.0 9999.0 9999.0 9999.0 2.446
Q0821-BX102 25.42 0.1 24.2 0.1 23.7 0.1 23.51 0.1 23.28 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.415
Q0821-BX104 26.24 0.13 25.06 0.15 24.65 0.1 23.84 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.534
Q0821-BX109 24.38 0.1 23.57 0.1 23.22 0.1 22.66 0.1 22.75 0.1 9999.0 9999.0 9999.0 9999.0 23.5 0.1 1.518
Q0821-BX111 24.27 0.1 23.82 0.1 23.81 0.1 23.05 0.1 22.68 0.1 22.54 0.1 9999.0 9999.0 9999.0 9999.0 1.769
Q0821-BX113 26.21 0.12 25.32 0.19 24.78 0.1 24.1 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.944
Q0821-BX119 26.28 0.1 25.43 0.16 25.48 0.1 25.09 0.11 24.0 0.1 23.59 0.31 9999.0 9999.0 9999.0 9999.0 2.255
Q0821-BX121 26.27 0.15 24.84 0.14 24.42 0.1 23.53 0.1 22.76 0.1 22.77 0.21 9999.0 9999.0 9999.0 9999.0 2.452
Q0821-BX125 24.05 0.1 22.89 0.1 22.95 0.1 23.27 0.1 23.03 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.168
Q0821-BX126 25.28 0.1 24.89 0.16 24.89 0.1 24.27 0.1 23.7 0.1 23.41 0.26 9999.0 9999.0 9999.0 9999.0 2.414
Q0821-BX127 24.61 0.1 24.19 0.1 24.11 0.1 23.31 0.1 22.6 0.1 22.21 0.17 9999.0 9999.0 9999.0 9999.0 1.559
Q0821-BX129 24.55 0.1 24.1 0.11 24.16 0.1 23.59 0.1 22.95 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.799
Q0821-BX130 25.54 0.1 24.9 0.14 24.95 0.1 23.7 0.1 24.1 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.179
Q0821-BX132 25.17 0.1 24.39 0.1 24.33 0.1 23.55 0.1 23.19 0.1 22.84 0.17 9999.0 9999.0 9999.0 9999.0 2.269
Q0821-BX134 25.29 0.1 24.66 0.11 24.43 0.1 22.81 0.1 22.44 0.1 22.01 0.1 9999.0 9999.0 9999.0 9999.0 1.665
Q0821-BX136 26.41 0.21 25.1 0.22 24.57 0.1 24.93 0.16 24.27 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.856
Q0821-BX141 25.85 0.1 25.11 0.13 25.11 0.1 23.73 0.1 23.01 0.1 22.69 0.25 9999.0 9999.0 9999.0 9999.0 1.717
Q0821-BX144 25.63 0.1 24.65 0.11 24.48 0.1 24.13 0.1 23.5 0.1 23.48 0.16 9999.0 9999.0 9999.0 9999.0 2.369
Q0821-BX147 25.98 0.1 24.92 0.11 24.75 0.1 24.03 0.1 23.11 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.215
Q0821-BX152 25.34 0.1 24.22 0.1 24.06 0.1 23.1 0.1 22.49 0.1 22.36 0.2 9999.0 9999.0 9999.0 9999.0 2.251
Q0821-BX155 23.59 0.1 23.2 0.1 23.16 0.1 22.31 0.1 22.29 0.1 22.36 0.2 9999.0 9999.0 9999.0 9999.0 1.501
Q0821-BX157 25.3 0.1 24.85 0.1 24.71 0.1 23.43 0.1 23.01 0.1 22.66 0.21 9999.0 9999.0 9999.0 9999.0 1.594
Q0821-BX159 26.42 0.14 25.7 0.25 25.42 0.11 24.94 0.1 24.08 0.1 23.73 0.19 9999.0 9999.0 9999.0 9999.0 2.188
Q0821-BX160 24.96 0.1 24.41 0.1 24.28 0.1 23.67 0.1 23.76 0.1 23.01 0.14 9999.0 9999.0 9999.0 9999.0 1.946
Q0821-BX162 26.27 0.1 25.76 0.21 25.41 0.11 25.26 0.13 25.09 0.16 9999.0 9999.0 9999.0 9999.0 25.77 0.12 1.498
Q0821-BX166 24.06 0.1 23.49 0.1 23.2 0.1 21.85 0.1 21.53 0.1 21.49 0.1 9999.0 9999.0 9999.0 9999.0 1.686
Q0821-BX17 25.28 0.1 24.62 0.13 24.26 0.1 23.27 0.1 22.38 0.1 21.54 0.1 9999.0 9999.0 9999.0 9999.0 2.182
Q0821-BX171 25.32 0.1 24.82 0.12 24.78 0.1 24.4 0.1 23.75 0.1 23.51 0.3 9999.0 9999.0 9999.0 9999.0 2.221
Q0821-BX173 25.65 0.1 24.66 0.1 24.33 0.1 23.34 0.1 23.1 0.1 22.52 0.16 9999.0 9999.0 9999.0 9999.0 1.916
Q0821-BX175 25.07 0.1 24.18 0.1 23.88 0.1 23.3 0.1 22.91 0.1 23.0 0.3 9999.0 9999.0 22.91 0.1 1.918
Q0821-BX176 25.14 0.1 24.17 0.1 23.63 0.1 22.59 0.1 22.05 0.1 20.71 0.1 9999.0 9999.0 22.48 0.1 1.908
Q0821-BX178 26.11 0.12 25.31 0.19 25.03 0.1 24.32 0.1 23.98 0.1 9999.0 9999.0 9999.0 9999.0 24.08 0.1 2.096
Q0821-BX18 24.67 0.1 24.13 0.1 23.92 0.1 22.55 0.1 21.9 0.1 21.29 0.1 9999.0 9999.0 9999.0 9999.0 1.854
Q0821-BX185 24.24 0.1 23.07 0.1 22.72 0.1 22.38 0.1 21.86 0.1 22.15 0.15 9999.0 9999.0 9999.0 9999.0 2.51
Q0821-BX186 26.6 0.18 25.16 0.16 24.79 0.1 23.97 0.1 23.32 0.1 23.48 0.16 9999.0 9999.0 9999.0 9999.0 2.353
Q0821-BX187 25.35 0.1 24.61 0.11 24.28 0.1 23.01 0.1 22.36 0.1 21.82 0.1 9999.0 9999.0 9999.0 9999.0 1.849
Q0821-BX189 25.49 0.1 24.46 0.1 24.26 0.1 23.1 0.1 22.41 0.1 22.11 0.1 9999.0 9999.0 9999.0 9999.0 2.22
Q0821-BX19 26.55 0.17 25.59 0.24 25.04 0.1 24.47 0.1 23.98 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.334
Q0821-BX191 26.75 0.2 24.96 0.13 24.5 0.1 24.02 0.1 23.25 0.1 23.14 0.17 9999.0 9999.0 23.8 0.1 2.631
Q0821-BX194 25.01 0.1 24.1 0.1 24.03 0.1 23.32 0.1 23.04 0.1 22.41 0.18 9999.0 9999.0 24.26 0.1 2.22
Q0821-BX200 24.94 0.1 24.01 0.1 23.98 0.1 23.45 0.1 22.96 0.1 22.85 0.11 9999.0 9999.0 9999.0 9999.0 2.186
Q0821-BX203 26.05 0.1 25.52 0.18 25.43 0.1 24.82 0.1 24.89 0.11 24.16 0.42 9999.0 9999.0 24.92 0.1 2.22
Q0821-BX207 25.42 0.1 24.41 0.1 24.15 0.1 23.98 0.1 23.37 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.413
Q0821-BX208 25.69 0.1 24.64 0.1 24.44 0.1 23.71 0.1 23.21 0.1 22.89 0.1 9999.0 9999.0 9999.0 9999.0 2.355
Q0821-BX210 24.66 0.1 24.36 0.1 24.38 0.1 24.13 0.1 24.04 0.1 23.71 0.25 9999.0 9999.0 24.43 0.1 2.151
Q0821-BX212 25.45 0.1 25.05 0.15 25.14 0.1 23.93 0.1 24.12 0.1 9999.0 9999.0 9999.0 9999.0 23.7 0.1 1.681
Q0821-BX216 24.59 0.1 23.99 0.1 23.59 0.1 23.15 0.1 23.79 0.11 21.58 0.12 9999.0 9999.0 24.78 0.1 2.639
Q0821-BX217 26.64 0.19 25.27 0.19 25.01 0.1 24.73 0.1 24.19 0.1 23.28 0.3 9999.0 9999.0 9999.0 9999.0 2.549
Q0821-BX220 26.5 0.21 25.13 0.21 24.79 0.1 24.88 0.13 23.73 0.1 23.51 0.42 9999.0 9999.0 23.81 0.1 2.626
Q0821-BX221 25.72 0.1 25.07 0.14 24.92 0.1 24.35 0.1 24.12 0.1 22.52 0.22 9999.0 9999.0 24.56 0.1 2.396
Q0821-BX222 25.44 0.1 24.5 0.1 24.43 0.1 23.45 0.1 22.81 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.0
Q0821-BX236 24.77 0.1 24.01 0.1 24.3 0.1 23.85 0.1 22.62 0.1 22.79 0.19 9999.0 9999.0 9999.0 9999.0 1.946
