Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f140w f140w_err f160w f160w_err Redshift
Q1009-BM101 23.09 0.1 23.44 0.1 23.6 0.1 23.72 0.13 23.93 0.23 23.77 0.15 9999.0 9999.0 23.17 0.1 23.81 0.1 1.714
Q1009-BM105 23.75 0.1 23.49 0.1 23.12 0.1 22.37 0.1 22.13 0.1 21.33 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.563
Q1009-BM123 24.75 0.15 24.47 0.1 24.46 0.1 23.53 0.1 23.6 0.15 9999.0 9999.0 9999.0 9999.0 23.46 0.1 23.44 0.1 1.631
Q1009-BM124 24.65 0.15 24.34 0.1 24.22 0.1 23.36 0.1 22.76 0.1 22.33 0.12 9999.0 9999.0 23.0 0.1 22.85 0.1 0.932
Q1009-BM130 24.17 0.11 24.27 0.1 24.37 0.1 24.14 0.17 24.65 0.42 23.99 0.28 9999.0 9999.0 24.44 0.1 24.39 0.1 1.568
Q1009-BM133 23.89 0.1 23.85 0.1 23.94 0.1 23.0 0.1 22.73 0.1 22.73 0.1 9999.0 9999.0 23.23 0.1 22.77 0.1 1.43
Q1009-BM134 24.86 0.19 24.59 0.1 24.48 0.1 23.99 0.14 23.27 0.11 23.37 0.1 9999.0 9999.0 24.45 0.1 24.33 0.1 1.408
Q1009-BM143 24.2 0.1 24.16 0.1 24.4 0.1 23.62 0.1 23.92 0.19 23.39 0.13 9999.0 9999.0 23.69 0.1 23.63 0.1 1.505
Q1009-BM152 24.93 0.18 24.88 0.1 25.03 0.1 24.85 0.28 23.91 0.18 23.92 0.21 9999.0 9999.0 25.15 0.1 25.06 0.1 1.604
Q1009-BM156 24.1 0.1 24.0 0.1 24.09 0.1 23.28 0.1 23.47 0.14 22.82 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.379
Q1009-BM181 23.45 0.1 23.25 0.1 22.99 0.1 21.86 0.1 21.38 0.1 21.26 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.571
Q1009-BM20 26.81 0.77 25.73 0.1 25.65 0.13 24.65 0.21 23.33 0.1 22.53 0.21 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.633
Q1009-BM43 24.24 0.14 23.92 0.1 23.8 0.1 22.69 0.1 22.63 0.1 22.78 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.334
Q1009-BM54 24.07 0.1 24.08 0.1 24.14 0.1 23.5 0.1 24.78 0.46 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.346
Q1009-BM61 24.01 0.1 23.84 0.1 23.74 0.1 22.97 0.1 23.01 0.11 22.63 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.303
Q1009-BM78 25.48 0.24 25.45 0.1 25.47 0.12 24.34 0.15 25.7 0.77 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.07
Q1009-BM92 24.44 0.16 24.06 0.1 23.75 0.1 22.5 0.1 22.11 0.1 21.77 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.888
Q1009-BM95 24.87 0.19 24.45 0.1 24.32 0.1 23.68 0.11 23.62 0.16 23.16 0.2 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.646
Q1009-BX108 24.49 0.12 24.23 0.1 24.27 0.1 23.58 0.1 24.59 0.35 23.19 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.593
Q1009-BX11 26.0 9999.0 24.68 0.1 24.15 0.1 23.89 0.17 23.26 0.14 23.18 0.15 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.768
Q1009-BX117 25.27 0.26 25.02 0.1 25.0 0.1 23.78 0.11 24.48 0.31 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.993
Q1009-BX120 24.47 0.13 23.97 0.1 23.98 0.1 22.87 0.1 22.72 0.1 23.24 0.18 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.635
Q1009-BX121 24.39 0.15 23.79 0.1 23.61 0.1 22.41 0.1 21.76 0.1 21.39 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.739
Q1009-BX133 25.38 0.23 24.97 0.1 24.8 0.1 23.47 0.1 23.32 0.1 22.93 0.16 9999.0 9999.0 23.41 0.1 23.49 0.1 1.982
Q1009-BX144 25.27 0.21 24.71 0.1 24.91 0.1 26.16 0.65 24.77 0.29 9999.0 9999.0 9999.0 9999.0 24.33 0.1 24.31 0.1 2.116
Q1009-BX145 24.64 0.2 23.73 0.1 23.59 0.1 22.25 0.1 21.48 0.1 21.14 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.218
Q1009-BX146 24.98 0.21 24.1 0.1 23.91 0.1 23.53 0.1 22.6 0.1 22.38 0.1 9999.0 9999.0 23.08 0.1 23.09 0.1 2.268
Q1009-BX155 25.53 0.24 25.22 0.1 25.29 0.1 24.17 0.11 26.66 0.42 9999.0 9999.0 9999.0 9999.0 24.25 0.1 24.11 0.1 2.145
Q1009-BX158 26.05 0.39 24.91 0.1 24.85 0.1 24.22 0.17 23.71 0.16 22.67 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.464
Q1009-BX165 26.02 0.69 24.43 0.1 24.07 0.1 23.69 0.12 23.17 0.12 9999.0 9999.0 9999.0 9999.0 23.0 0.1 22.75 0.1 2.527
Q1009-BX167 24.58 0.17 24.59 0.1 24.35 0.1 23.07 0.1 23.21 0.12 24.32 0.44 9999.0 9999.0 23.41 0.1 23.46 0.1 1.791
Q1009-BX169 25.39 0.27 24.7 0.1 24.46 0.1 23.6 0.1 23.37 0.12 22.89 0.17 9999.0 9999.0 23.94 4.57 23.51 0.1 2.116
Q1009-BX17 25.38 0.27 24.53 0.1 24.4 0.1 23.68 0.1 23.43 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.804
Q1009-BX171 24.75 0.19 24.06 0.1 23.7 0.1 23.44 0.11 23.38 0.14 9999.0 9999.0 9999.0 9999.0 24.01 0.1 24.09 0.1 2.206
Q1009-BX172 24.24 0.1 24.09 0.1 24.08 0.1 23.74 0.11 23.36 0.11 23.54 0.14 9999.0 9999.0 23.68 0.1 9999.0 9999.0 2.099
Q1009-BX173 26.41 9999.0 25.32 0.1 24.96 0.1 24.36 0.17 23.31 0.1 22.24 0.12 9999.0 9999.0 24.2 0.1 23.65 0.1 2.65
Q1009-BX177 25.14 0.19 24.82 0.1 24.74 0.1 25.19 0.36 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 24.98 0.1 24.31 0.1 2.095
Q1009-BX182 26.55 9999.0 25.95 0.11 25.59 0.14 24.34 0.15 24.39 0.2 23.5 0.11 9999.0 9999.0 24.58 0.1 24.28 0.1 2.307
Q1009-BX183 24.13 0.14 23.91 0.1 23.84 0.1 22.68 0.1 22.5 0.1 22.15 0.1 9999.0 9999.0 22.83 0.1 22.75 0.1 1.604
Q1009-BX185 26.06 0.42 25.19 0.1 25.22 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 25.28 0.1 24.85 0.1 2.116
Q1009-BX188 24.15 0.11 23.7 0.1 23.7 0.1 22.98 0.1 22.35 0.1 22.08 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.197
Q1009-BX192 25.65 0.35 25.07 0.1 24.67 0.1 23.63 0.1 22.94 0.1 22.29 0.12 9999.0 9999.0 23.09 0.1 23.0 0.1 1.635
Q1009-BX193 26.21 0.53 25.31 0.1 25.23 0.1 23.95 0.1 24.56 0.26 23.99 0.35 9999.0 9999.0 24.36 0.1 24.03 0.1 2.464
Q1009-BX195 23.43 0.1 23.2 0.1 23.32 0.1 22.59 0.1 22.38 0.1 22.09 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.182
Q1009-BX197 24.52 0.16 24.16 0.1 24.19 0.1 23.62 0.11 23.33 0.13 23.57 0.23 9999.0 9999.0 23.74 0.1 23.68 0.1 1.787
Q1009-BX199 25.6 0.56 23.95 0.1 23.76 0.1 22.83 0.1 21.54 0.1 20.97 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.646
Q1009-BX201 25.48 0.46 23.59 0.1 23.11 0.1 22.07 0.1 22.14 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.661
Q1009-BX203 26.39 0.62 25.74 0.1 25.29 0.1 24.6 0.21 23.96 0.17 24.64 0.4 9999.0 9999.0 26.53 0.14 25.3 0.1 1.999
Q1009-BX206 25.67 0.39 24.9 0.1 24.41 0.1 23.88 0.13 23.08 0.1 23.56 0.27 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.257
Q1009-BX207 23.78 0.1 23.3 0.1 23.24 0.1 22.12 0.1 21.91 0.1 21.64 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.706
Q1009-BX208 24.85 0.22 24.08 0.1 23.88 0.1 23.09 0.1 22.57 0.1 22.73 0.15 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.91
Q1009-BX209 26.25 0.66 25.37 0.1 24.86 0.1 22.89 0.1 21.5 0.1 20.41 0.1 9999.0 9999.0 22.13 0.1 21.93 0.1 1.565
Q1009-BX213 25.22 0.23 24.5 0.1 24.36 0.1 23.41 0.1 23.23 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.255
Q1009-BX215 25.91 0.45 24.57 0.1 24.14 0.1 23.64 0.1 22.66 0.1 22.2 0.1 9999.0 9999.0 23.27 0.1 22.96 0.1 2.506
Q1009-BX218 25.37 0.34 24.67 0.1 24.7 0.1 23.56 0.1 23.03 0.1 22.37 0.1 9999.0 9999.0 23.21 0.1 23.0 0.1 2.109
Q1009-BX222 25.58 0.3 24.93 0.1 24.87 0.1 24.18 0.15 24.25 0.24 24.37 0.21 9999.0 9999.0 24.29 0.1 24.25 0.1 2.203
Q1009-BX222-CS3 24.36 0.14 24.21 0.1 23.88 0.1 23.12 0.1 23.15 0.13 22.59 0.1 9999.0 9999.0 23.05 0.1 22.94 0.1 0.949
Q1009-BX222-CS9 26.58 9999.0 25.96 0.11 25.39 0.12 24.3 0.16 25.72 0.9 23.57 0.12 9999.0 9999.0 24.73 0.1 24.48 0.1 2.654
Q1009-BX223 24.91 0.2 24.23 0.1 24.06 0.1 23.87 0.14 23.23 0.12 23.43 0.23 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.2
Q1009-BX225 24.2 0.12 23.6 0.1 23.35 0.1 21.82 0.1 21.55 0.1 21.06 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.536
Q1009-BX227 25.93 0.53 25.16 0.1 24.95 0.1 23.78 0.12 23.1 0.1 23.17 0.15 9999.0 9999.0 23.9 0.1 23.69 0.1 2.456
Q1009-BX228 24.25 0.18 24.48 0.1 24.16 0.1 22.46 0.1 22.93 0.13 22.72 0.15 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.145
Q1009-BX23 24.06 0.1 23.58 0.1 23.57 0.1 22.73 0.1 22.52 0.1 21.67 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.821
Q1009-BX239 25.3 0.25 24.77 0.1 24.77 0.1 9999.0 9999.0 23.92 0.15 24.02 0.36 9999.0 9999.0 24.19 0.11 24.22 0.1 2.326
Q1009-BX241 25.3 0.15 24.03 0.1 23.02 0.1 22.48 0.1 22.21 0.1 22.71 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.641
Q1009-BX242 24.44 0.21 23.67 0.1 23.17 0.1 22.39 0.1 22.05 0.1 22.51 0.1 9999.0 9999.0 22.86 0.16 9999.0 9999.0 2.956
Q1009-BX245 26.79 0.83 25.2 0.1 25.01 0.1 25.47 0.48 25.16 0.54 24.14 0.25 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.578
