Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_H mosfire_H_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err irac3 irac3_err f140w f140w_err f160w f160w_err Redshift
Q1623-BM209 26.02 0.3 25.33 0.19 25.24 0.2 24.49 0.1 24.39 0.1 25.31 0.32 24.11 0.41 23.84 0.36 9999.0 9999.0 9999.0 9999.0 23.91 0.1 1.565
Q1623-BX1000 25.58 0.31 24.29 0.1 24.01 0.09 25.16 0.18 23.19 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.485
Q1623-BX109 24.18 0.12 23.14 0.1 22.96 0.04 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.026
Q1623-BX113 25.95 0.39 24.94 0.15 24.63 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.112
Q1623-BX118 26.34 0.48 25.1 0.15 25.1 0.19 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.531
Q1623-BX124 27.71 0.82 25.76 0.36 25.24 0.18 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.362
Q1623-BX129 25.09 0.2 24.2 0.1 24.19 0.09 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.312
Q1623-BX138 24.63 0.15 23.72 0.1 23.43 0.06 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 21.54 0.1 9999.0 9999.0 21.86 0.22 9999.0 9999.0 9999.0 9999.0 2.36
Q1623-BX140 25.37 0.23 24.21 0.12 24.08 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.113
Q1623-BX144 25.15 0.2 24.24 0.1 24.15 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.067
Q1623-BX145 25.25 0.28 24.15 0.1 23.82 0.08 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.543
Q1623-BX146 26.62 0.68 24.76 0.17 24.28 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.576
Q1623-BX147 26.0 0.56 24.41 0.11 23.98 0.09 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.541
Q1623-BX151 26.25 0.4 25.09 0.16 24.92 0.16 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.439
Q1623-BX157 25.32 0.25 24.07 0.1 24.05 0.09 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.985
Q1623-BX160 25.48 0.32 24.23 0.1 23.96 0.08 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.137
Q1623-BX168 24.91 0.23 23.8 0.1 23.48 0.07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.045
Q1623-BX179 25.9 0.45 24.31 0.12 23.98 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 23.59 0.33 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.505
Q1623-BX18 25.65 0.32 24.4 0.13 24.26 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.408
Q1623-BX181 25.72 0.28 24.72 0.15 24.42 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 21.84 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.982
Q1623-BX184 24.8 0.23 23.15 0.1 22.51 0.02 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.482
Q1623-BX186 25.42 9999.0 24.81 0.19 23.97 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.018
