Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err irac3 irac3_err f814w f814w_err f140w f140w_err f160w f160w_err Redshift
Q1700-BM548 25.06 0.15 24.65 0.1 24.28 0.1 23.7 0.1 23.01 0.1 23.16 0.2 23.35 0.25 9999.0 9999.0 24.11 0.1 9999.0 9999.0 9999.0 9999.0 1.29
Q1700-BM555 23.45 0.1 23.31 0.1 23.11 0.1 22.47 0.1 22.2 0.1 21.89 0.1 22.09 0.1 22.37 0.29 22.73 0.1 22.29 0.1 22.05 0.1 1.14
Q1700-BM566 25.6 0.19 25.09 0.1 24.81 0.1 23.65 0.1 22.91 0.1 23.64 0.26 22.46 0.1 9999.0 9999.0 24.58 0.1 9999.0 9999.0 9999.0 9999.0 1.58
Q1700-BM596 24.06 0.1 23.54 0.1 22.97 0.1 22.92 0.1 22.77 0.1 9999.0 9999.0 21.98 0.1 9999.0 9999.0 23.24 0.1 9999.0 9999.0 9999.0 9999.0 2.071
Q1700-BM605 24.89 0.1 24.82 0.1 24.85 0.1 24.26 0.14 24.05 0.2 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 24.75 0.1 9999.0 9999.0 24.07 0.1 1.493
Q1700-BM619 25.95 0.25 25.5 0.1 25.14 0.1 24.16 0.13 23.88 0.13 23.03 0.25 23.57 0.34 9999.0 9999.0 25.8 0.1 9999.0 9999.0 9999.0 9999.0 2.265
Q1700-BM624 24.4 0.1 24.36 0.1 24.08 0.1 23.49 0.1 23.19 0.12 22.75 0.15 22.86 0.1 9999.0 9999.0 23.78 0.1 9999.0 9999.0 23.13 0.1 1.286
Q1700-BM640 24.36 0.1 24.23 0.1 24.21 0.1 23.27 0.1 23.24 0.11 23.0 0.16 23.03 0.28 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.375
Q1700-BM724 24.71 0.22 23.75 0.1 23.14 0.1 23.2 0.12 23.32 0.24 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 24.41 0.1 9999.0 9999.0 9999.0 9999.0 2.218
Q1700-BM780 23.66 0.1 23.1 0.1 22.75 0.1 21.76 0.1 21.45 0.1 9999.0 9999.0 21.03 0.1 9999.0 9999.0 22.8 0.1 9999.0 9999.0 9999.0 9999.0 1.716
Q1700-BX1012 24.35 0.1 23.79 0.1 23.71 0.1 23.13 0.1 22.79 0.1 9999.0 9999.0 23.67 0.23 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.111
