# Q2343-BX418 24.39 0.15 23.97 0.10 23.99 0.04 24.21 0.10 23.36 0.10 23.64 0.13 9999 9999 24.37 0.42 9999 9999 24.09 0.10 23.08 0.10 2.305
# Q2343-BX660 24.71 0.19 24.22 0.10 24.17 0.04 24.18 0.10 23.21 0.10 23.33 0.10 9999 9999 24.06 0.27 9999 9999 23.29 0.10 23.10 0.10 2.174
# Q2343-BX660-CS7 27.89 9999 28.87 1.84 27.37 0.21 9999 9999 25.96 0.10 25.25 0.21 9999 9999 21.96 0.10 9999 9999 23.28 0.10 23.08 0.10  2.079
Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_H mosfire_H_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err irac3 irac3_err f140w f140w_err f160w f160w_err Redshift
Q2343-BM109 24.33 0.18 24.11 0.1 23.92 0.04 22.68 0.1 22.15 0.1 21.45 0.1 9999.0 9999.0 20.21 0.1 9999.0 9999.0 21.66 0.1 9999.0 9999.0 1.24
Q2343-BM131 24.47 0.22 24.22 0.1 24.01 0.05 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.084
Q2343-BM132 25.05 0.33 24.67 0.13 24.24 0.05 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 21.63 0.1 9999.0 9999.0 22.51 0.69 9999.0 9999.0 2.257
Q2343-BM133 22.83 0.1 22.64 0.1 22.63 0.01 22.33 0.1 21.93 0.1 22.26 0.1 9999.0 9999.0 22.04 0.1 9999.0 9999.0 22.18 0.1 9999.0 9999.0 1.477
Q2343-BM134 24.72 0.23 24.46 0.1 24.3 0.05 23.79 0.1 23.58 0.1 23.2 0.11 9999.0 9999.0 22.79 0.15 9999.0 9999.0 23.28 0.1 23.29 2.02 1.495
Q2343-BM135 23.81 0.1 23.62 0.1 23.46 0.03 22.87 0.1 22.39 0.1 22.74 0.1 9999.0 9999.0 21.92 0.26 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.625
Q2343-BM136 24.88 0.22 24.4 0.1 24.23 0.04 23.34 0.1 22.77 0.1 22.96 0.1 9999.0 9999.0 21.9 0.1 9999.0 9999.0 22.73 0.1 9999.0 9999.0 1.651
Q2343-BM145 25.44 0.29 25.26 0.14 25.09 0.07 24.61 0.1 24.14 0.1 24.9 0.32 9999.0 9999.0 23.55 0.2 9999.0 9999.0 24.0 0.1 24.24 0.1 1.591
Q2343-BM168 24.97 0.23 24.56 0.1 24.4 0.05 23.69 0.1 23.77 0.1 23.32 0.1 9999.0 9999.0 23.42 0.21 9999.0 9999.0 23.4 0.1 23.24 0.1 2.302
Q2343-BM173 23.95 0.14 23.68 0.1 23.61 0.03 23.28 0.1 23.79 0.1 23.34 0.15 9999.0 9999.0 23.11 0.3 9999.0 9999.0 23.0 0.1 9999.0 9999.0 1.928
Q2343-BM175 24.88 0.26 24.56 0.11 24.33 0.05 24.16 0.1 23.83 0.1 23.0 0.1 9999.0 9999.0 23.49 0.23 9999.0 9999.0 23.43 0.1 23.47 0.1 1.495
Q2343-BM181 25.16 0.28 24.89 0.12 24.81 0.07 24.64 0.1 23.97 0.1 24.5 0.27 9999.0 9999.0 23.67 0.25 9999.0 9999.0 23.83 0.1 23.91 0.1 1.495
Q2343-BM183 23.78 0.1 23.76 0.1 23.79 0.03 23.38 0.1 23.63 0.1 23.22 0.1 9999.0 9999.0 23.13 0.1 9999.0 9999.0 23.29 0.1 23.33 0.1 1.128
Q2343-BM190 24.61 0.16 24.61 0.1 24.64 0.05 24.55 0.1 24.57 0.1 24.19 0.19 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 24.27 0.1 24.51 0.1 1.695
Q2343-BM191 21.33 0.1 21.16 0.1 21.06 0.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.048
Q2343-BM194 25.17 0.33 24.86 0.14 24.64 0.06 24.14 0.1 24.07 0.1 23.7 0.15 9999.0 9999.0 23.13 0.12 9999.0 9999.0 23.79 0.1 24.03 0.1 1.59
Q2343-BM201 24.1 0.14 23.79 0.1 23.67 0.03 22.78 0.1 22.4 0.1 22.73 0.1 9999.0 9999.0 21.9 0.1 9999.0 9999.0 22.39 0.1 9999.0 9999.0 1.435
Q2343-BM281 25.34 0.36 24.96 0.14 24.62 0.06 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.85
Q2343-BM70 24.33 0.17 23.93 0.1 23.73 0.03 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 22.86 0.19 22.4 0.32 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.051
Q2343-BM88 24.67 0.21 24.23 0.1 24.19 0.04 24.77 0.1 23.5 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.212
Q2343-BM93 24.84 0.23 24.5 0.1 24.35 0.05 23.76 0.1 24.27 0.1 23.34 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 23.34 0.1 23.15 0.2 1.809
Q2343-BX100 25.29 0.31 24.9 0.12 24.76 0.05 24.29 0.1 24.77 0.1 23.95 0.17 22.55 0.2 22.46 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.401
Q2343-BX104 24.88 0.26 24.19 0.1 23.98 0.04 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.999
Q2343-BX106 26.0 0.56 25.29 0.16 25.13 0.08 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.228
Q2343-BX107 25.72 0.52 24.8 0.13 24.37 0.05 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.306
Q2343-BX110 26.04 0.64 25.3 0.18 25.05 0.07 24.92 0.1 25.27 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.636
Q2343-BX111 25.32 0.39 24.58 0.11 24.25 0.05 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 21.33 0.1 21.25 0.13 21.28 0.13 9999.0 9999.0 9999.0 9999.0 1.923
Q2343-BX112 26.0 0.43 25.77 0.2 25.54 0.09 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.91
Q2343-BX118 26.3 0.66 25.6 0.2 25.27 0.08 24.87 0.1 27.82 0.1 24.33 0.2 22.69 0.23 23.23 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.428
Q2343-BX123 24.53 0.19 23.98 0.1 23.84 0.04 23.8 0.1 23.27 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.108
Q2343-BX129 25.82 0.58 24.85 0.13 24.36 0.05 24.24 0.1 24.11 0.1 24.77 0.4 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.799
Q2343-BX134 26.16 0.72 24.74 0.11 24.34 0.05 24.63 0.1 23.92 0.1 23.74 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.621
Q2343-BX139 24.71 0.26 24.19 0.1 23.95 0.04 22.9 0.1 22.67 0.1 22.26 0.1 9999.0 9999.0 21.65 0.1 9999.0 9999.0 22.53 0.1 9999.0 9999.0 1.63
Q2343-BX145 27.33 1.05 27.13 0.49 26.29 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 23.15 0.36 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.933
Q2343-BX153 26.04 0.64 25.17 0.16 24.73 0.06 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 23.21 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.783
Q2343-BX161 25.43 0.46 24.34 0.1 23.88 0.04 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.254
Q2343-BX162 25.57 0.45 24.58 0.1 24.25 0.05 24.12 0.1 23.3 0.1 23.2 0.1 22.37 0.21 22.8 0.13 9999.0 9999.0 23.2 0.1 9999.0 9999.0 2.233
Q2343-BX163 25.23 0.31 24.53 0.1 24.56 0.06 24.2 0.1 23.63 0.1 23.82 0.16 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.121
Q2343-BX167 26.34 9999.0 25.62 0.22 25.44 0.09 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.12
Q2343-BX168 25.78 0.55 24.8 0.13 24.36 0.05 24.11 0.1 23.17 0.1 23.24 0.1 22.77 0.25 22.3 0.1 9999.0 9999.0 23.31 0.1 9999.0 9999.0 2.483
Q2343-BX169 24.29 0.21 23.71 0.1 23.49 0.04 23.54 0.1 23.08 0.1 22.73 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.209
Q2343-BX173 25.03 0.36 23.81 0.1 23.48 0.03 23.55 0.1 23.61 0.1 22.93 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 23.29 0.1 9999.0 9999.0 2.57
Q2343-BX182 24.75 0.21 24.16 0.1 24.03 0.04 24.21 0.1 23.48 0.1 23.77 0.12 9999.0 9999.0 22.85 0.2 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.287
Q2343-BX183 24.26 0.13 23.94 0.1 23.87 0.03 23.31 0.1 23.14 0.1 22.99 0.1 9999.0 9999.0 22.45 0.13 9999.0 9999.0 22.92 0.1 9999.0 9999.0 1.777
Q2343-BX187 26.17 0.66 25.03 0.13 24.74 0.06 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.311
Q2343-BX188 26.43 9999.0 25.7 0.22 25.14 0.07 25.09 0.1 24.86 0.1 25.52 0.6 9999.0 9999.0 23.55 0.24 9999.0 9999.0 24.19 0.1 9999.0 9999.0 2.815
Q2343-BX194 24.45 0.21 24.43 0.11 23.83 0.06 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.799
Q2343-BX195 26.41 9999.0 26.11 0.26 25.71 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.394
Q2343-BX196 25.81 0.53 25.26 0.18 24.96 0.08 24.53 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.345
Q2343-BX197 25.16 0.32 24.27 0.1 24.15 0.04 24.48 0.1 24.15 0.1 23.47 0.12 23.24 0.35 23.58 0.19 9999.0 9999.0 23.93 0.1 9999.0 9999.0 2.788
Q2343-BX199 26.22 0.68 25.45 0.19 25.14 0.08 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.801
Q2343-BX205 26.64 9999.0 26.07 0.25 25.61 0.09 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.64
Q2343-BX207 24.89 0.25 24.08 0.1 23.94 0.04 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.921
Q2343-BX209 25.78 0.51 24.92 0.13 24.9 0.08 24.32 0.1 23.59 0.1 23.45 0.1 9999.0 9999.0 22.81 0.12 9999.0 9999.0 23.4 0.1 9999.0 9999.0 2.416
Q2343-BX212 26.24 0.81 25.1 0.16 24.65 0.05 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 22.65 0.41 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.565
Q2343-BX215 25.45 0.37 24.63 0.1 24.4 0.04 24.1 0.1 23.45 0.1 22.77 0.1 9999.0 9999.0 22.49 0.12 9999.0 9999.0 23.1 0.1 9999.0 9999.0 2.17
Q2343-BX216 25.8 0.41 25.32 0.15 25.03 0.06 24.87 0.1 27.73 0.1 24.46 0.17 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 24.4 0.1 9999.0 9999.0 2.087
Q2343-BX218 25.04 0.27 24.47 0.1 24.05 0.04 22.96 0.1 22.37 0.1 22.25 0.1 9999.0 9999.0 21.32 0.1 9999.0 9999.0 22.39 0.1 9999.0 9999.0 1.632
Q2343-BX222 26.52 0.87 25.48 0.19 25.05 0.07 24.43 0.1 23.65 0.1 23.15 0.1 9999.0 9999.0 22.12 0.1 9999.0 9999.0 23.47 0.1 9999.0 9999.0 2.287
Q2343-BX227 26.01 0.51 25.65 0.2 25.31 0.09 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 23.46 0.39 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.89
